net,sta,start,end,n_days
KG,BBK,2010-01-01 00:00:00,2013-11-13 00:00:00,1413
KG,BBK,2014-07-30 00:00:00,2014-07-30 00:00:00,1
KG,BBK,2016-01-06 00:00:00,2016-01-06 00:00:00,1
KG,BBK,2016-09-09 00:00:00,2016-09-09 00:00:00,1
KG,BBK,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,BBK,2020-09-08 00:00:00,2020-09-18 00:00:00,11
KG,BBK,2020-12-16 00:00:00,2020-12-21 00:00:00,6
KG,BBK,2024-05-29 00:00:00,2024-05-29 00:00:00,1
KG,BBK,2024-06-04 00:00:00,2024-06-04 00:00:00,1
KG,BBK,2024-09-01 00:00:00,2024-09-01 00:00:00,1
KG,BBK,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,BOG,2017-12-21 23:16:00,2026-07-15 23:16:00,3129
KG,CGD,2013-02-12 00:00:00,2013-02-12 00:00:00,1
KG,CGD,2013-07-28 00:00:00,2013-07-29 00:00:00,2
KG,CGD,2016-01-06 00:00:00,2016-01-06 00:00:00,1
KG,CGD,2016-09-09 00:00:00,2016-09-09 00:00:00,1
KG,CGD,2017-06-18 00:00:00,2017-06-19 00:00:00,2
KG,CGD,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,CGD,2019-06-28 00:00:00,2019-06-30 00:00:00,3
KG,CGD,2021-01-01 00:00:00,2021-03-08 00:00:00,67
KG,CGD,2021-03-10 00:00:00,2021-12-31 00:00:00,297
KG,CGD,2024-05-29 00:00:00,2024-05-29 00:00:00,1
KG,CGD,2024-06-04 00:00:00,2024-06-04 00:00:00,1
KG,CGD,2024-09-01 00:00:00,2024-09-01 00:00:00,1
KG,CGD,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,CGU,2017-12-21 23:21:00,2026-07-15 23:21:00,3129
KG,CHS,2010-07-04 00:00:00,2010-07-07 00:00:00,4
KG,CHS,2010-08-26 00:00:00,2010-08-26 00:00:00,1
KG,CHS,2011-09-17 00:00:00,2011-10-23 00:00:00,37
KG,CHS,2013-02-12 00:00:00,2013-02-12 00:00:00,1
KG,CHS,2014-03-28 00:00:00,2014-03-31 00:00:00,4
KG,CHS,2014-07-11 00:00:00,2014-07-31 00:00:00,21
KG,CHS,2015-06-24 00:00:00,2015-06-25 00:00:00,2
KG,CHS,2015-07-11 00:00:00,2015-07-12 00:00:00,2
KG,CHS,2016-08-14 00:00:00,2016-08-16 00:00:00,3
KG,CHS,2017-07-23 00:00:00,2017-07-24 00:00:00,2
KG,CHS,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,CHS,2021-09-05 00:00:00,2021-09-06 00:00:00,2
KG,CHS,2022-04-21 00:00:00,2022-04-24 00:00:00,4
KG,CHS,2022-05-07 00:00:00,2022-05-08 00:00:00,2
KG,CHS,2023-04-09 00:00:00,2023-04-09 00:00:00,1
KG,CHS,2023-05-27 00:00:00,2023-05-27 00:00:00,1
KG,CHS,2023-11-27 00:00:00,2023-11-27 00:00:00,1
KG,CHS,2023-12-07 00:00:00,2023-12-07 00:00:00,1
KG,CHS,2023-12-19 00:00:00,2023-12-19 00:00:00,1
KG,CHS,2024-05-01 00:00:00,2024-05-01 00:00:00,1
KG,CHS,2024-08-22 00:00:00,2024-08-22 00:00:00,1
KG,CHS,2024-10-14 00:00:00,2024-10-14 00:00:00,1
KG,CHS,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,DES,2019-02-07 00:00:00,2019-02-13 00:00:00,7
KG,DES,2019-04-10 00:00:00,2019-04-15 00:00:00,6
KG,DES,2019-07-20 00:00:00,2019-09-04 00:00:00,47
KG,DES,2019-09-12 00:00:00,2019-09-30 00:00:00,19
KG,DES,2022-05-18 00:00:00,2022-12-31 00:00:00,228
KG,DES,2023-01-25 00:00:00,2023-01-25 00:00:00,1
KG,DES,2023-02-01 00:00:00,2023-02-01 00:00:00,1
KG,DES,2023-07-13 00:00:00,2023-07-13 00:00:00,1
KG,DES,2024-01-01 00:00:00,2024-01-16 00:00:00,16
KG,DES,2024-05-29 00:00:00,2024-05-29 00:00:00,1
KG,DES,2024-06-04 00:00:00,2024-06-04 00:00:00,1
KG,DES,2024-09-01 00:00:00,2024-09-01 00:00:00,1
KG,DES,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,DKJ,2010-01-01 00:00:00,2013-11-13 00:00:00,1413
KG,DKJ,2014-12-04 00:00:00,2014-12-10 00:00:00,7
KG,DKJ,2015-03-06 00:00:00,2015-03-07 00:00:00,2
KG,DKJ,2016-01-06 00:00:00,2016-01-06 00:00:00,1
KG,DKJ,2016-09-09 00:00:00,2016-09-09 00:00:00,1
KG,DKJ,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,DKJ,2018-12-27 00:00:00,2018-12-27 00:00:00,1
KG,DKJ,2022-07-04 00:00:00,2022-07-07 00:00:00,4
KG,DKJ,2024-05-29 00:00:00,2024-05-29 00:00:00,1
KG,DKJ,2024-06-04 00:00:00,2024-06-04 00:00:00,1
KG,DKJ,2024-09-01 00:00:00,2024-09-01 00:00:00,1
KG,DKJ,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,DUC,2017-12-21 23:26:00,2026-07-15 23:26:00,3129
KG,GCN,2017-12-22 02:10:00,2026-07-15 02:10:00,3128
KG,GKP1,2010-01-01 00:00:00,2019-01-23 00:00:00,3310
KG,GKP2,2019-01-24 08:10:00,2026-07-15 08:10:00,2730
KG,HAK,2010-01-01 00:00:00,2013-11-14 00:00:00,1414
KG,HAK,2016-01-06 00:00:00,2016-01-06 00:00:00,1
KG,HAK,2016-09-09 00:00:00,2016-09-09 00:00:00,1
KG,HAK,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,HCH,2019-01-23 23:00:00,2026-07-15 23:00:00,2731
KG,HDB,2010-09-01 00:00:00,2010-09-01 00:00:00,1
KG,HDB,2011-07-23 00:00:00,2011-07-25 00:00:00,3
KG,HDB,2012-05-04 00:00:00,2012-05-04 00:00:00,1
KG,HDB,2014-02-12 00:00:00,2014-02-20 00:00:00,9
KG,HDB,2015-01-01 00:00:00,2015-01-04 00:00:00,4
KG,HDB,2016-03-08 00:00:00,2016-03-09 00:00:00,2
KG,HDB,2016-08-06 00:00:00,2016-08-08 00:00:00,3
KG,HDB,2017-09-03 00:00:00,2017-09-03 00:00:00,1
KG,HDB,2019-10-30 00:00:00,2019-10-31 00:00:00,2
KG,HDB,2021-07-06 00:00:00,2021-07-07 00:00:00,2
KG,HDB,2022-06-29 00:00:00,2022-06-30 00:00:00,2
KG,HDB,2022-09-06 00:00:00,2022-09-06 00:00:00,1
KG,HDB,2023-04-09 00:00:00,2023-04-09 00:00:00,1
KG,HDB,2023-05-27 00:00:00,2023-05-27 00:00:00,1
KG,HDB,2023-11-27 00:00:00,2023-11-27 00:00:00,1
KG,HDB,2023-12-07 00:00:00,2023-12-07 00:00:00,1
KG,HDB,2023-12-19 00:00:00,2023-12-19 00:00:00,1
KG,HDB,2024-05-01 00:00:00,2024-05-01 00:00:00,1
KG,HDB,2024-08-22 00:00:00,2024-08-22 00:00:00,1
KG,HDB,2024-10-14 00:00:00,2024-10-14 00:00:00,1
KG,HDB,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,JUC,2019-02-08 00:00:00,2019-02-12 00:00:00,5
KG,JUC,2021-08-06 00:00:00,2021-08-08 00:00:00,3
KG,JUC,2022-10-01 00:00:00,2022-10-01 00:00:00,1
KG,JUC,2022-10-18 00:00:00,2022-10-18 00:00:00,1
KG,JUC,2022-11-12 00:00:00,2022-11-12 00:00:00,1
KG,JUC,2022-12-24 00:00:00,2022-12-25 00:00:00,2
KG,JUC,2023-01-25 00:00:00,2023-01-25 00:00:00,1
KG,JUC,2023-02-01 00:00:00,2023-02-01 00:00:00,1
KG,JUC,2024-08-04 00:00:00,2024-08-04 00:00:00,1
KG,JUC,2024-11-01 00:00:00,2026-07-16 00:00:00,623
KG,KRN,2010-01-01 00:00:00,2026-07-16 00:00:00,6041
KG,MAK,2010-01-01 00:00:00,2011-11-03 00:00:00,672
